geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_ScmKD_v_toyScmKD_change
krimp	761.693962575383	1.25858151419516	0.234792343773461	5.36040270294972	8.30366401905457e-08	2.44347525031297e-05	enriched in toy-ScmKD
l(3)mbn	6.69549199612862	-18.8465835439698	2.29799108914464	-8.20133012394967	2.37741667764894e-16	7.92868461995921e-13	depleted in toy-ScmKD
lectin-24Db	182.01840742038	-1.5886293892595	0.360775621260259	-4.40337233350222	1.06581014281366e-05	0.00104543436067164	depleted in toy-ScmKD
nAChRbeta1	9.79040664346757	-4.87821532497497	1.52586746416675	-3.19701116875106	0.00138859549833561	0.0376501299751972	depleted in toy-ScmKD
noe	162.96097613522	1.06880939941161	0.195380444322079	5.47040110958958	4.49018192714768e-08	1.49747567270375e-05	enriched in toy-ScmKD
obst-F	16.7723623203445	-5.91320543435471	1.87161532755141	-3.15941280631145	0.00158087396569461	0.0407645464607592	depleted in toy-ScmKD
obst-J	10.0382225325869	-7.49844898442379	1.89775072618898	-3.95122967465911	7.77506622788743e-05	0.00489242374905747	depleted in toy-ScmKD
ppk13	209.733651258555	1.75151868538289	0.421048470428782	4.15989798893985	3.18389767072054e-05	0.00241324971178477	enriched in toy-ScmKD
ppk29	95.3898061371858	-1.15956433292122	0.371466926035942	-3.12158163122447	0.001798823698635	0.0441596875311657	depleted in toy-ScmKD
trk	19.0568143366923	7.29717252482814	1.28247167112458	5.68992882192036	1.27092337415677e-08	5.08623534337538e-06	enriched in toy-ScmKD
zyd	72.1236481657678	-1.7636316914101	0.526319283654496	-3.35087796738954	0.000805557931049041	0.0251078102808276	depleted in toy-ScmKD
