geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_SfmbtKD_v_toySfmbtKD_change
CR40469	399.601319399101	3.13511233179762	0.32310106381818	9.70319408654703	2.92204868848017e-22	3.56855196080641e-19	enriched in toy-SfmbtKD
CR44291	38.9408393557324	-1.02274123227675	0.349531879433538	-2.9260313363526	0.00343316353884615	0.0411558377601557	depleted in toy-SfmbtKD
CR44334	60.1138243596907	2.84010464222934	0.827183191771852	3.43346512656495	0.000595918856626704	0.0126567983244411	enriched in toy-SfmbtKD
CR44368	96.7653218870812	1.18080999744414	0.19473324882062	6.0637307937683	1.3299970071294e-09	3.7125916456155e-07	enriched in toy-SfmbtKD
CR45131	14.3631211330711	3.25255073275566	0.80574856323012	4.03668201370002	5.42124692731932e-05	0.00227320096480299	enriched in toy-SfmbtKD
CR45566	22.5763593836627	1.56725789736866	0.502846938687303	3.11676929258042	0.00182844600701664	0.0276959961062831	enriched in toy-SfmbtKD
CR45822	213.810291331476	-7.43550456186142	0.54181438432705	-13.723342858637	7.35925480712682e-43	3.59499597328145e-39	depleted in toy-SfmbtKD
CR45835	156.830571438051	-5.30413383414218	0.364624971636309	-14.5468200116385	6.11817204926008e-48	5.9774540921271e-44	depleted in toy-SfmbtKD
CR46194	43.3797932015243	-1.06422615324421	0.357456695940307	-2.97721700371206	0.00290878045199731	0.0375413276301371	depleted in toy-SfmbtKD
Ccp84Ad	12.09595939933	3.87909844837611	1.09381760126166	3.54638510470282	0.000390555007704007	0.00921672083398104	enriched in toy-SfmbtKD
Cda5	196.090686267011	1.09115889886888	0.322680293281101	3.38154799530422	0.000720786399789262	0.0145497585246717	enriched in toy-SfmbtKD
CngA	90.2672456397016	-1.82534987760015	0.607821998923436	-3.00309939560131	0.00267245132942634	0.0354521739453861	depleted in toy-SfmbtKD
Corin	53.7675480434081	1.45062374106153	0.493250740505343	2.94094589614877	0.00327211680627209	0.0401272388062994	enriched in toy-SfmbtKD
Cpr100A	62.7365025117881	4.03550189108648	0.756433944258588	5.33490322812238	9.55955265554947e-08	1.55661382407864e-05	enriched in toy-SfmbtKD
Cpr49Ah	182.944529003514	4.14517483283345	0.852623252945943	4.86167227847849	1.16398214775294e-06	0.00012097984663347	enriched in toy-SfmbtKD
Cpr64Aa	105.626014248757	9.74726711919594	1.77470133653386	5.49234224291122	3.96637806218514e-08	7.17620623473127e-06	enriched in toy-SfmbtKD
Cpr66Cb	69.5624385999834	-6.00155000617465	0.751501017115738	-7.98608367718331	1.39293154644261e-15	9.72067229196024e-13	depleted in toy-SfmbtKD
Cyp4g1	95.4480204862882	-4.35739330895333	1.43615913522447	-3.03406022499887	0.00241286257069863	0.0329701640779379	depleted in toy-SfmbtKD
Cyp6g2	322.749472006734	-2.8547310869023	0.625566269081346	-4.5634351274958	5.03233644345748e-06	0.000406329975641153	depleted in toy-SfmbtKD
DNaseII	37.3507545551632	-2.45538295695296	0.728144750131775	-3.37210830196689	0.000745951091054488	0.0149343077041032	depleted in toy-SfmbtKD
Dhc62B	35.1097031968557	1.03121664693373	0.268553603987755	3.83989129775654	0.000123088798616007	0.00416116803625739	enriched in toy-SfmbtKD
Dr	571.339551147422	1.90241321045798	0.471718129828694	4.03294486720034	5.50822061275047e-05	0.00229979980284496	enriched in toy-SfmbtKD
Eglp2	19.457373865896	3.36034986234153	0.677973957660934	4.95645861374236	7.17896503726753e-07	8.06189522001192e-05	enriched in toy-SfmbtKD
Elk	32.9725119162266	-1.86633129024615	0.599664860679169	-3.11229056865593	0.00185641680456293	0.0279106934138224	depleted in toy-SfmbtKD
