geneid	WT_1	WT_2	WT_3	toyKD_1	toyKD_2	toyKD_3	PcKD_1	PcKD_2	PcKD_3	toy-PcKD_1	toy-PcKD_2	toy-PcKD_3	SfmbtKD_1	SfmbtKD_2	SfmbtKD_3	toy-SfmbtKD_1	toy-SfmbtKD_2	toy-SfmbtKD_3	ScmKD_1	ScmKD_2	ScmKD_3	toy-ScmKD_1	toy-ScmKD_2	toy-ScmKD_3
CG14760	2	0	0	4	4	0	0	0	2	0	0	0	1	2	2	2	2	0	0	0	0	0	0	2
CG14762	383	94	209	468	220	265	130	116	325	628	157	108	292	107	149	160	416	452	155	177	138	113	137	115
CG14763	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
CG14764	1167	347	726	2118	1035	1133	424	333	1095	1253	330	326	1135	518	655	444	1014	1158	550	639	615	385	432	600
CG14767	5246	1650	3821	9939	4757	4924	2092	2002	5528	6703	2022	1942	5068	2492	3066	2384	4942	6065	3027	3520	3056	2150	2609	2856
CG14770	0	0	0	8	4	0	0	0	2	0	0	0	3	2	0	0	2	4	0	0	0	5	0	0
CG14777	159	38	57	297	187	151	91	63	181	183	64	43	131	70	70	70	170	140	62	76	36	37	55	60
CG14778	9	0	1	9	5	1	0	0	4	5	0	6	3	0	4	4	6	1	1	2	0	0	0	0
CG14780	0	0	2	2	2	2	2	2	6	0	2	0	0	0	2	2	0	0	2	2	4	0	0	0
CG14785	133	42	75	248	122	107	51	49	86	134	42	38	102	47	57	61	137	136	55	63	75	51	37	40
CG14787	47	24	11	11	2	12	7	6	20	13	8	0	8	8	2	10	10	6	8	2	10	0	0	2
CG14795	0	0	0	2	2	0	6	6	0	6	0	2	4	2	0	0	1	2	2	2	2	0	0	0
CG14797	0	0	2	0	0	2	2	0	0	2	0	2	1	0	0	2	2	0	0	0	0	0	0	0
CG14798	28	2	12	66	58	49	20	24	59	78	22	16	30	28	52	16	128	76	16	14	18	12	8	12
CG14803	1247	233	679	2042	1252	1128	528	592	1206	1453	504	410	930	497	617	603	1647	1208	652	735	614	426	517	680
CG14805	1630	452	1152	3381	1622	1606	766	576	1854	2404	764	560	1746	812	1060	966	1960	2088	1110	1172	1050	690	966	1148
CG14806	554	164	390	1065	552	606	274	252	605	806	220	212	550	236	293	324	536	724	358	343	284	184	256	378
CG14810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CG14811	0	0	0	2	0	2	2	2	0	0	2	0	0	2	0	0	0	2	0	0	0	0	0	0
CG14812	717	208	516	1396	744	659	298	288	891	836	287	243	593	262	378	358	887	813	456	484	401	286	338	422
CG14814	1719	344	1074	2993	1784	1766	738	718	1838	2088	663	596	1423	626	964	737	2131	1623	754	980	792	448	526	814
CG14817	552	154	370	1120	541	556	220	226	624	723	200	192	536	228	287	256	548	605	348	402	309	196	321	311
CG14818	758	154	511	1347	704	646	312	286	758	883	266	228	705	276	401	336	666	715	384	535	412	284	362	468
CG14820	3	0	0	6	0	2	0	0	2	2	2	0	0	2	0	0	0	0	2	2	2	0	0	0
CG14823	14	0	0	2	2	0	0	6	4	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0
CG14826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14829	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
CG14830	1060	311	810	2530	1107	1244	666	484	1610	1880	463	463	1186	536	644	599	1326	1255	585	688	601	389	576	574
CG14834	17	10	11	39	16	22	2	6	12	18	7	24	12	6	10	15	19	27	10	16	12	26	14	13
CG14835	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0
CG14838	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
CG14839	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
CG14840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
CG14841	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
CG14850	6	0	0	0	0	0	0	2	2	2	2	86	0	4	0	0	0	28	62	12	24	0	0	8
CG14851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14852	36	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	90	36	24	0	0	44
CG14853	64	22	24	58	22	16	12	6	34	20	28	6	16	4	6	4	25	12	12	8	10	4	10	2
CG14854	0	0	0	18	2	0	6	0	4	0	0	2	0	0	0	4	0	0	0	2	0	0	0	2
CG14855	136	65	132	194	56	114	22	8	34	53	16	15	66	12	46	32	36	44	48	70	70	18	22	38
CG14856	21	2	6	13	8	12	0	2	1	2	2	2	10	6	0	0	2	6	2	0	0	0	5	0
CG14857	4	0	2	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CG1486	2658	775	1648	4432	2118	2431	1050	774	2303	3086	949	900	2270	1019	1344	1081	2188	2588	1112	1331	1126	688	1026	1136
CG14860	262	77	208	586	356	310	103	60	282	354	68	92	314	102	181	139	242	254	158	154	148	122	122	176
CG14861	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14864	18	0	8	24	2	12	0	10	10	10	8	6	0	2	4	2	12	6	16	8	4	2	2	4
CG14866	0	2	0	10	2	4	0	2	0	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0
CG14868	114	36	82	188	92	122	40	20	114	96	42	24	132	64	78	40	106	138	52	82	48	60	57	28
CG14877	6	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14879	56	24	34	111	65	46	61	62	82	107	42	16	22	12	20	32	116	24	48	47	46	24	32	46
CG14880	30	22	76	103	4	45	62	27	110	120	32	26	74	34	40	32	8	38	26	80	66	32	56	42
CG14881	390	92	213	683	421	386	143	126	381	422	176	144	343	150	172	170	428	344	231	281	202	141	140	283
CG14882	526	141	349	1007	571	529	192	190	456	499	138	134	404	184	242	249	506	476	235	320	269	155	174	283
CG14883	824	279	502	1288	767	770	347	259	611	798	250	206	715	320	400	272	637	699	346	466	306	206	268	304
CG14891	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0
CG14892	4	0	4	8	8	8	0	0	11	10	4	2	12	6	12	6	12	12	6	8	4	6	8	6
CG14893	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14894	950	308	679	1906	1026	977	432	366	966	1132	318	291	976	390	562	494	978	1050	492	600	554	364	390	474
CG14903	364	99	264	779	390	418	164	148	387	418	124	104	372	155	230	168	310	384	210	260	246	140	172	230
CG14905	0	0	0	2	4	2	0	0	0	18	0	0	6	0	0	0	1	0	0	0	2	2	0	0
CG14906	261	64	173	450	260	240	146	119	296	348	94	120	248	95	161	126	334	297	126	181	172	88	103	163
CG14907	139	50	59	295	135	152	94	100	237	235	78	71	140	79	92	87	215	149	125	108	131	88	105	121
CG14913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14915	4	0	0	4	2	0	0	0	0	16	0	2	0	4	4	2	10	6	0	0	2	0	0	2
CG1492	215	64	176	461	208	210	108	96	262	304	80	73	220	104	134	132	202	220	138	119	126	68	106	110
CG14921	18	0	12	9	6	13	1	2	2	4	6	2	4	0	4	2	3	5	2	4	3	0	0	2
CG14926	16	0	6	29	14	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14932	0	0	0	2	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0
CG14933	2	0	0	1	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0
CG14937	16	0	9	33	22	11	2	4	17	11	2	0	15	10	10	6	6	12	4	2	12	0	14	4
CG1494	2	12	8	6	14	32	2	1	12	16	6	2	12	10	1	10	4	8	0	2	2	4	0	10
CG14945	149	52	102	370	153	247	67	56	120	218	45	58	169	85	73	72	117	161	36	85	40	48	40	48
CG14947	4	0	0	3	0	8	0	0	2	2	0	2	2	0	2	2	2	2	2	0	0	0	0	0
CG14949	0	0	0	4	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CG14957	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
