geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_wt_vs_toyKD_change
Ptr	104.639962145228	-1.15098514336371	0.292395632976198	-3.93639649008508	8.27142727891413e-05	0.00773417102107812	depleted in toyKD
Rab9E	6.54638267486917	-7.02405583434129	1.83291268551617	-3.83218245465045	0.000127011484342473	0.0108611102636448	depleted in toyKD
Tie	344.228895879608	1.11449368178767	0.264653480082044	4.21114311983417	2.54081703746822e-05	0.00313852563418094	enriched in toyKD
Tmc	104.897174600833	1.20002206672116	0.237884014317183	5.04456791754453	4.5454735803581e-07	0.000101061029269962	enriched in toyKD
TrpA1	150.510901306906	2.45668604838932	0.303357250663705	8.09832645507704	5.57203788833374e-16	6.19424878586435e-13	enriched in toyKD
VAChT	45.8632573467894	-1.94671973287921	0.447500228146792	-4.35020947573826	1.36007542787766e-05	0.00197449865159246	depleted in toyKD
beat-IIa	21.0797638008267	-2.60045333901049	0.772391339766367	-3.36675620909612	0.000760578938860942	0.0398154642512192	depleted in toyKD
beat-IV	16.6977519767592	-3.15555537469699	0.918455924182528	-3.43571780813063	0.000590986197353803	0.0328489828029156	depleted in toyKD
cn	102.291246746381	-1.71640516108278	0.322906629513338	-5.31548442864	1.06373946626126e-07	2.87640901620105e-05	depleted in toyKD
dpr1	165.63650284165	-1.07588852360737	0.251909743866731	-4.27092857581781	1.94660749232467e-05	0.00256260631061952	depleted in toyKD
dpr18	51.1943255938801	2.03612460513128	0.416151721678829	4.89274584018828	9.94387865208046e-07	0.00019897701182813	enriched in toyKD
erm	33.6176636438833	-3.65745313709262	0.851373096892586	-4.29594633708993	1.73949661950077e-05	0.00238406351754866	depleted in toyKD
fas	67.394245880655	-1.55593005038331	0.45794589364279	-3.39762856700485	0.000679726400401705	0.03701606694482	depleted in toyKD
hbn	10.2610062191951	-5.5465482215346	1.57055858815119	-3.53157676725949	0.000413089937729327	0.025831030168637	depleted in toyKD
lectin-24Db	182.01840742038	-1.31274052160479	0.336422960211607	-3.90205389304907	9.5379914004236e-05	0.00852032178225341	depleted in toyKD
mira	262.42080190463	-1.09684663895289	0.25991455220996	-4.22002781155114	2.44272181862857e-05	0.00309359896144036	depleted in toyKD
ppk13	209.733651258555	2.54818649853154	0.416544357028737	6.11744332994467	9.50885589170569e-10	4.13635231289198e-07	enriched in toyKD
pst	2006.53983080858	-1.45893497004671	0.135177983910221	-10.7926966200033	3.72690535956406e-27	9.32192203060961e-24	depleted in toyKD
rpk	188.303413827271	1.24285815866835	0.244185778531091	5.08980566413333	3.58430657624599e-07	8.53833030841456e-05	enriched in toyKD
sage	49.9964914730134	-1.3317038778306	0.400431676343687	-3.32567066119816	0.000882060831373247	0.043905565263131	depleted in toyKD
shd	32.0025049760186	-1.60170732245426	0.462088048146684	-3.46623836924216	0.000527795127320219	0.0307011060978999	depleted in toyKD
sna	12.1138168556025	-2.80635262658454	0.74107940779476	-3.78684469851274	0.000152572391788956	0.0126155932218885	depleted in toyKD
stops	79.4874661350785	1.13213736646853	0.222936869027288	5.078286832538	3.80853421070729e-07	8.69141329793689e-05	enriched in toyKD
tap	19.4070673411282	-4.31435904541947	0.801363739359035	-5.38377123086487	7.29411987917047e-08	2.02715748308613e-05	depleted in toyKD
trk	19.0568143366923	5.7272191251447	1.06098896603948	5.39800064700353	6.73876246400585e-08	1.98297995448172e-05	enriched in toyKD
tut	168.610693541596	2.17563014530621	0.252613796074286	8.61247556196978	7.14995424278592e-18	1.02193274570104e-14	enriched in toyKD
wor	29.0613227113258	-3.00453760956947	0.674518352158302	-4.45434523753972	8.4149602209835e-06	0.00131549495329594	depleted in toyKD
wrapper	108.145955284343	-1.29333201213197	0.30776422516527	-4.20234681739714	2.64162000359358e-05	0.0032230985531651	depleted in toyKD
y	87.1567052995995	3.28704428426491	0.658274970376357	4.99342133939195	5.93189518991943e-07	0.00012627364122371	enriched in toyKD
