geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_toy_v_toySfmbtKD_change
CG31955	59.7337352691563	1.35546659437045	0.334508873569447	4.05210952973133	5.07578912732064e-05	0.00107591674192464	enriched in toy-SfmbtKD
CG32073	48.2720486115911	4.48657713540861	1.13125119613741	3.96603084330675	7.3079409885776e-05	0.00145359740737016	enriched in toy-SfmbtKD
CG32115	10.5682555614857	-5.94191661769565	1.78047722668814	-3.3372606673258	0.000846085556349717	0.0105287139195011	depleted in toy-SfmbtKD
CG32241	24.2924166826071	2.42780250434189	0.614536739634921	3.95062222933031	7.79482768235576e-05	0.00153216603068702	enriched in toy-SfmbtKD
CG32335	19.0675332588022	-2.35751265113303	0.673990645450543	-3.49784179802244	0.000469039268900586	0.00662816085501463	depleted in toy-SfmbtKD
CG32564	12.8472117095594	21.8580487242618	2.20696226435472	9.90413342235047	3.9941759003296e-23	2.10324894119988e-20	enriched in toy-SfmbtKD
CG32581	86.3544771324021	10.3996322111793	1.25434259372292	8.29090255184024	1.12392338338955e-16	2.81121336270311e-14	enriched in toy-SfmbtKD
CG3270	7.61151638129974	-2.38682509081127	0.857482763455554	-2.78352544509775	0.00537716445428412	0.0434560019104302	depleted in toy-SfmbtKD
CG33288	32.9759075127692	3.1218850917012	0.622130914903037	5.01805169445367	5.21981331317233e-07	2.19429547051635e-05	enriched in toy-SfmbtKD
CG33333	692.465086566681	-3.91625205209552	1.39001542574954	-2.81741625276119	0.00484117382000411	0.040464447843894	depleted in toy-SfmbtKD
CG33460	79.3663055717725	-2.27182714373023	0.549703371202222	-4.13282374230607	3.5833351870079e-05	0.000839608162670118	depleted in toy-SfmbtKD
CG33465	194.450885469488	-1.780603145492	0.393348291566157	-4.52678499861366	5.9887814666625e-06	0.000182120846729357	depleted in toy-SfmbtKD
CG33509	110.74846476401	1.93295967029736	0.371083302331249	5.20896428956509	1.89897653815326e-07	9.00438875081675e-06	enriched in toy-SfmbtKD
CG33687	7.03798476354653	-3.03884722913778	1.04566072926314	-2.90615028765516	0.00365905658418744	0.0326573248214053	depleted in toy-SfmbtKD
CG33914	35.716007987104	7.104999248093	0.756407054776402	9.39308961124547	5.82655328763543e-21	2.64975752921784e-18	enriched in toy-SfmbtKD
CG34279	35.6920433082492	-3.76716699189812	1.1805681093286	-3.19097810802339	0.00141792023666864	0.0157145726025884	depleted in toy-SfmbtKD
CG34436	8.40942631315795	2.51146737945334	0.814311289896863	3.08416131596485	0.0020412687961946	0.0209036789211126	enriched in toy-SfmbtKD
CG34445	102.012822190531	1.24732951580558	0.182384092314332	6.83902581622009	7.97335174709165e-12	1.04964979249542e-09	enriched in toy-SfmbtKD
CG3457	14.4848670468819	2.51506115893418	0.578654470333223	4.34639545337973	1.38392967252629e-05	0.000377281100098787	enriched in toy-SfmbtKD
CG41284	4.7854115907731	6.01310555650634	1.56186272248041	3.84995779075696	0.000118138182032729	0.00214904092952265	enriched in toy-SfmbtKD
CG42402	52.0951296664573	1.49776394430645	0.415918646414037	3.60109833309916	0.000316875690171683	0.00487744812333491	enriched in toy-SfmbtKD
CG42460	60.7328463967196	-3.18549312255983	1.05888902350384	-3.00833520024516	0.00262683227894203	0.0254912288562706	depleted in toy-SfmbtKD
CG42694	55.5658531284146	-1.43034108746784	0.402328967255684	-3.55515313059437	0.000377759014013732	0.0055992280521591	depleted in toy-SfmbtKD
CG42717	8.33178311143388	-6.55002571043074	2.29793925795352	-2.85039114404791	0.00436654942202872	0.0374676903665501	depleted in toy-SfmbtKD
CG42854	24.9763187011189	3.81462026424612	0.621704671482847	6.13574328651538	8.47619388372875e-10	7.92563736511272e-08	enriched in toy-SfmbtKD
CG43064	4.06126427846668	-5.50139805371194	1.88354151689436	-2.92077344957218	0.00349163630069962	0.0316143178176468	depleted in toy-SfmbtKD
CG43085	34.6765305537453	-2.16248233132612	0.667479340691676	-3.23977417650897	0.00119624398105977	0.0136938455726578	depleted in toy-SfmbtKD
CG43156	73.6805266425108	-2.40569561121588	0.539553256786009	-4.45868054906395	8.24657171226369e-06	0.000240545043676963	depleted in toy-SfmbtKD
CG43295	63.355360242801	1.19277767056601	0.31429482103504	3.79509171241809	0.000147588888897783	0.00259969512926464	enriched in toy-SfmbtKD
