geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_toy_v_toyScmKD_change
CG31775	9.33647925961531	-5.17499323764155	1.77096616001705	-2.92212993928225	0.00347646470811981	0.0142695798658131	depleted in toy-ScmKD
CG31777	44.9759620064969	-1.86804406998714	0.508940097250258	-3.67045960827208	0.000242114728815788	0.00150245958788233	depleted in toy-ScmKD
CG31778	55.3875872936068	-2.64936260430225	0.887829372808063	-2.98408983239959	0.00284423253734135	0.0120865459751118	depleted in toy-ScmKD
CG32204	33.9114769757842	1.98550715734536	0.334853093987418	5.92948726769109	3.03882073267158e-09	5.43202170217317e-08	enriched in toy-ScmKD
CG32302	41.9230910995046	-5.74495853659915	1.63879716880298	-3.5055946190067	0.000455588534589237	0.00260638443463804	depleted in toy-ScmKD
CG32335	19.0675332588022	-3.31796378224865	0.837349015475339	-3.96246215249341	7.41807694636146e-05	0.000529682045079321	depleted in toy-ScmKD
CG32365	121.629571238989	1.05706314783732	0.235172927384259	4.49483348102453	6.96244100832165e-06	6.59417446312561e-05	enriched in toy-ScmKD
CG32373	284.674884143357	-2.32751326691763	0.472766152761877	-4.92318084389166	8.51486962908698e-07	9.98804696133104e-06	depleted in toy-ScmKD
CG32454	8.8515896872135	-3.14269464448862	0.999847701872027	-3.1431733439048	0.00167126836081266	0.00783640827193941	depleted in toy-ScmKD
CG32564	12.8472117095594	24.3937947944472	2.18977589699387	11.139859027554	8.02462686443752e-29	6.32014784999872e-27	enriched in toy-ScmKD
CG32581	86.3544771324021	10.1413490567289	1.25629616047021	8.07241904881185	6.89188651223346e-16	2.37862616740371e-14	enriched in toy-ScmKD
CG32603	52.8622407982661	-5.78607129807938	1.51712173141411	-3.81384774752794	0.000136819777022621	0.000908230142149529	depleted in toy-ScmKD
CG32647	74.2573098725341	-1.1375692133452	0.376431600197183	-3.02198118529188	0.0025112615652674	0.0109241963854551	depleted in toy-ScmKD
CG32700	4.66752007480674	-4.39943951997474	1.72738461671738	-2.54687895063878	0.0108691128735522	0.0362361417410755	depleted in toy-ScmKD
CG32756	277.940043549661	-1.26802504030204	0.180688742659491	-7.0177312744471	2.25499709541596e-12	5.81800358977394e-11	depleted in toy-ScmKD
CG32783	4.04942104656701	2.26123096891228	0.829710130022876	2.72532645690361	0.00642379365972632	0.023861432122565	enriched in toy-ScmKD
CG32801	9.76097707520504	-2.79375270612051	0.926126723838627	-3.01659873774175	0.0025562795014957	0.0110786213397466	depleted in toy-ScmKD
CG33082	86.2015867127143	-1.17069294186071	0.253986236758365	-4.60927708840567	4.04071507567961e-06	4.04264473903953e-05	depleted in toy-ScmKD
CG33099	102.843221830247	-2.16874784789493	0.335139339792999	-6.47118255121727	9.72388694079401e-11	2.11762402712718e-09	depleted in toy-ScmKD
