geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_toy_v_toyPcKD_change
CG43338	83.3690271444021	-1.49819554185125	0.518399166338194	-2.89004234407634	0.00385189937989554	0.0292409144845217	depleted in toy-PcKD
CG43778	528.447175365758	-1.06318534671745	0.231820398062518	-4.5862458851905	4.51287081074819e-06	0.000118842986040458	depleted in toy-PcKD
CG4382	387.324159271292	4.66593427903303	1.257137006128	3.71155590543322	0.000205989159137018	0.00295957953642451	enriched in toy-PcKD
CG43886	21.4583898331903	-2.87009896230512	0.816225819957173	-3.51630503731886	0.000437597911944668	0.00548823055160386	depleted in toy-PcKD
CG44013	33.5048129329497	10.3757497128846	1.34369980696067	7.72177658963395	1.14719341827929e-14	2.07557031418309e-12	enriched in toy-PcKD
CG4408	1227.80864860686	-2.6282680319216	0.67794247109302	-3.87683047454476	0.000105826038205332	0.00168941240729753	depleted in toy-PcKD
CG45081	9.74725064343856	-3.9850691984607	1.30588481376105	-3.05162381587346	0.00227607155137126	0.0196441864460223	depleted in toy-PcKD
CG4562	104.467802591418	3.45352822336423	0.231603089239345	14.9114082834848	2.77830294419558e-50	2.71440197647908e-46	enriched in toy-PcKD
CG4757	14.3647556486208	5.84771551180309	2.05507275792642	2.84550290944612	0.00443413543740775	0.0323778050997562	enriched in toy-PcKD
CG4793	73.5011189593443	-3.18190526172861	0.618823241746969	-5.14186450519527	2.72025275138437e-07	1.05046914549507e-05	depleted in toy-PcKD
CG4835	7.65799561790281	-2.60849659258591	0.813034999480473	-3.20834477513604	0.00133501352445916	0.0131218130120382	depleted in toy-PcKD
CG4927	67.9463163884287	-1.5454716347377	0.440521317454525	-3.50827888118545	0.000451015986902574	0.00560614019343276	depleted in toy-PcKD
CG5217	11.5193300198241	-1.92582253770367	0.619158561484342	-3.11038667233606	0.00186842577266755	0.0170443695601886	depleted in toy-PcKD
CG5399	158.761155650404	2.22438304975697	0.35928214520792	6.19118728672059	5.9712707213771e-10	4.05134131582321e-08	enriched in toy-PcKD
CG5418	10.2957826605347	-5.33251976929271	1.35015530404955	-3.94956028636021	7.82948900855852e-05	0.00130759158313875	depleted in toy-PcKD
CG5618	202.49215203193	-1.34835313692362	0.286615419805184	-4.70439845085834	2.54615558411997e-06	7.21041740778321e-05	depleted in toy-PcKD
CG5866	32.0607330852878	-6.0335251327817	2.068768766891	-2.91648115987802	0.00354004102142991	0.0273841653043311	depleted in toy-PcKD
CG5882	3.67076001063767	-4.23096790824495	1.5712649928839	-2.69271442271455	0.00708729461232388	0.0462040296447787	depleted in toy-PcKD
CG6034	7.52338267012755	-5.54582327379519	1.51610697076906	-3.6579366632567	0.000254253853680991	0.00351352213644029	depleted in toy-PcKD
CG6055	58.6725771582622	-3.98170597868755	1.15502336172777	-3.44729475664581	0.000566230450443096	0.00676292359514553	depleted in toy-PcKD
CG6118	125.500185665609	-1.5941439114415	0.268725286201415	-5.93224379430621	2.98822467077186e-09	1.70730731189714e-07	depleted in toy-PcKD
CG6356	64.1296440613481	-1.87093818111339	0.600330906252266	-3.11651151328065	0.00183004534336752	0.0167725544134153	depleted in toy-PcKD
CG7173	200.640121163896	3.27650538160176	0.414769199998565	7.89958700311666	2.79829056704765e-15	5.4678597680111e-13	enriched in toy-PcKD
CG7201	17.6967505539787	3.53056489636031	0.799852419884166	4.41402039750233	1.01468392272617e-05	0.000233257927647876	enriched in toy-PcKD
CG7236	18.7848639752371	1.90646060277335	0.548135129750762	3.47808505475688	0.000505009653399357	0.00615973072872874	enriched in toy-PcKD
CG7328	55.2415531918636	-1.32678397306147	0.266299684071341	-4.98229645930046	6.28340699021379e-07	2.15399601032943e-05	depleted in toy-PcKD
CG7381	49.1475567402128	-1.11001190293196	0.327805422182376	-3.38619140446799	0.00070869934446457	0.00801388031877182	depleted in toy-PcKD
CG7386	61.2821711562736	-6.68745734811991	0.984457674434102	-6.79303693981976	1.09797251306247e-11	1.01305896490995e-09	depleted in toy-PcKD
CG7497	16.9504190518491	-3.42082106810681	0.704629117442172	-4.85478244288926	1.20518982536193e-06	3.76188645168883e-05	depleted in toy-PcKD
CG7512	11.7832194651665	3.16413074473037	0.962655636973007	3.28687707546151	0.00101305044449224	0.0106196382432287	enriched in toy-PcKD
CG7924	45.3858825049588	1.73503602495002	0.504771763582089	3.43726838569064	0.000587613037026351	0.00695394225539608	enriched in toy-PcKD
CG8008	17.5361963295114	-2.19550001542113	0.708850750100114	-3.09726697067196	0.00195313888687927	0.0175872506219452	depleted in toy-PcKD
CG8066	64.6266906215473	1.07877552227546	0.332609278385103	3.24337170482185	0.0011812399557578	0.0120341130007859	enriched in toy-PcKD
CG8172	192.11230790946	-1.46507654669845	0.296929753203039	-4.93408468129037	8.05274990232126e-07	2.67603287570336e-05	depleted in toy-PcKD
CG8192	35.7210706062691	1.40775640933852	0.398156184298913	3.5356889202094	0.000406713317542218	0.00519423413383983	enriched in toy-PcKD
CG8213	99.473772383958	-1.05500146703662	0.26926651011804	-3.91805674821623	8.9265693830994e-05	0.00147070122888501	depleted in toy-PcKD
CG8925	43.7975221997016	-2.59394969449239	0.937580144527003	-2.76664316073055	0.00566367113900172	0.0390226142651952	depleted in toy-PcKD
CG9119	357.79691771205	-5.22723457999324	0.680809633516841	-7.67796799964632	1.61631852423681e-14	2.77042666347257e-12	depleted in toy-PcKD
CG9150	385.977004564621	-1.6444077018252	0.23101699204638	-7.11812446027807	1.09405558773048e-12	1.38817183014633e-10	depleted in toy-PcKD
CG9184	40.0966950407873	-3.74424918058287	0.873266630921292	-4.28763569796857	1.80584940141691e-05	0.000373005256910004	depleted in toy-PcKD
CG9269	45.6190134107669	-16.1443272274753	2.56883360734449	-6.2846916909361	3.28504968017422e-10	2.29249538395015e-08	depleted in toy-PcKD
