Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_WT_vs_PcKD_change
CG13293	217.735390892481	-1.19339482094602	0.266301738691781	-4.48136323408409	7.41677555627091e-06	0.000128086338063694	depleted in absence of Pc
CG13560	79.4729675621513	-5.07930500661982	1.93480241692869	-2.62523189043909	0.00865899728967513	0.037847542144073	depleted in absence of Pc
CG13654	44.4215184546812	-1.44823429395198	0.476015939374922	-3.04240714261317	0.00234694215550573	0.0140555757979732	depleted in absence of Pc
CG13675	4.35467756095966	5.69876988886118	1.44675229509876	3.93900870810241	8.18189609102735e-05	0.000954107893726223	enriched in absence of Pc
CG13678	57.133824174157	-3.21869975553897	0.845479252776674	-3.80695297367535	0.000140689484674544	0.00147774462825847	depleted in absence of Pc
CG13692	15.3643406493431	3.27633673541168	0.818155009319505	4.00454277990274	6.21375459973004e-05	0.000766687480190787	enriched in absence of Pc
CG13707	12.157383461318	-1.95440627691686	0.616056008246767	-3.1724490155999	0.00151159097952691	0.00987257858503511	depleted in absence of Pc
CG13741	6.5440682380926	-2.49826254226942	0.871102782856583	-2.86793084746777	0.00413165828252311	0.0217591502717389	depleted in absence of Pc
CG13796	45.4484229901621	-1.59313672829107	0.613234550308807	-2.59792395501658	0.00937892620070586	0.0404061872094028	depleted in absence of Pc
CG13856	12.5786093540273	1.97772777154247	0.595201822359021	3.32278514152384	0.000891235321831392	0.00646398082923179	enriched in absence of Pc
CG13868	233.835693946435	-1.15321840595433	0.282512885264782	-4.08200286112077	4.46492470250348e-05	0.000583230789264516	depleted in absence of Pc
CG13893	114.447318712516	1.13462522497922	0.302060122415322	3.75628936354317	0.000172451287900213	0.00174340931824884	enriched in absence of Pc
CG13920	67.3414465334625	-1.92086282891131	0.507808124368229	-3.78265477989562	0.000155164547082047	0.0015970252529319	depleted in absence of Pc
CG13947	19.2810162017837	-18.4336148081059	3.48078474108614	-5.29582154004556	1.18482508173112e-07	3.66208709628408e-06	depleted in absence of Pc
CG14277	10.552187438053	3.51092642688963	1.10248906691575	3.18454534584326	0.00144981594073925	0.00956056989640095	enriched in absence of Pc
CG14304	99.5902228787007	1.70834003896118	0.283379467979596	6.0284538295632	1.65535672059255e-09	8.69359393619911e-08	enriched in absence of Pc
CG1441	9.30222979195057	5.69182246187998	1.71250351462446	3.32368512722624	0.00088836437470613	0.00645025835022077	enriched in absence of Pc
CG14526	75.6374955336719	-2.47785288701864	0.721038243220776	-3.43650688478106	0.000589267376743482	0.00467805209707752	depleted in absence of Pc
CG14566	103.510705182696	-3.2137780654858	0.858814543529803	-3.74210950396449	0.000182481961211224	0.00183218836796118	depleted in absence of Pc
CG14598	479.639718683545	2.40830103038758	0.181053527701618	13.3015968313887	2.26577075158922e-40	1.16018791335126e-36	enriched in absence of Pc
CG14629	547.351763551346	-1.84745735887816	0.353625986219308	-5.22432578733744	1.74790801556773e-07	5.18850028621135e-06	depleted in absence of Pc
CG14669	37.9251281039525	-2.36131480300834	0.475195135349097	-4.96914767714031	6.72478405379692e-07	1.66751848656015e-05	depleted in absence of Pc
CG14687	81.6465817694987	-1.23183603224989	0.43295543537886	-2.84517973812239	0.00443863692379474	0.0229261032152078	depleted in absence of Pc
CG14695	38.1580019534022	2.03953594834986	0.584731395946333	3.48798775384562	0.000486670368637081	0.00399358272853553	enriched in absence of Pc
CG14798	29.2276526569281	1.56487641800833	0.519915660626227	3.0098659004106	0.0026136305618099	0.0153124660088645	enriched in absence of Pc
CG14855	49.488390789868	-2.36982014104665	0.397829852287582	-5.9568685643368	2.57116861396283e-09	1.30353157304917e-07	depleted in absence of Pc
CG14960	4.88803769457821	4.86010911670186	1.64094537179429	2.9617738653832	0.00305872339281111	0.0173254348815147	enriched in absence of Pc
CG14989	64.7596842135533	-2.77925072478753	0.8347840707263	-3.3293049331541	0.000870630268145329	0.00636411461532928	depleted in absence of Pc
CG15239	8.34602356385744	3.27990759262377	1.10406097130895	2.97076672200012	0.00297057329394007	0.0169291269355817	enriched in absence of Pc
CG15279	123.60310800263	1.24323916309647	0.371737411573682	3.34440151674119	0.000824603004637066	0.00609289997870721	enriched in absence of Pc
CG15282	401.499854643208	-1.84627723781427	0.329593587432135	-5.60167827353264	2.12286301815021e-08	8.08187366872723e-07	depleted in absence of Pc
CG15343	121.73683451486	-3.96201124768109	0.509941256444611	-7.76954442812659	7.8768911843884e-15	1.44048647534503e-12	depleted in absence of Pc
CG1537	21.8578215362694	-1.84715891118204	0.517729403302524	-3.56780762189527	0.000359980638756381	0.00313877236813804	depleted in absence of Pc
CG15404	39.5520319820747	-6.76152532886136	1.4062454508669	-4.80821134368337	1.5228672150092e-06	3.39036590193679e-05	depleted in absence of Pc
CG15597	34.8245076727441	8.50219276395596	2.78799171210808	3.0495760539859	0.00229164601818605	0.0137727387747907	enriched in absence of Pc
CG15611	594.477338074263	1.17386112940207	0.208941687765127	5.618127918645	1.93037566733652e-08	7.51672137231684e-07	enriched in absence of Pc
CG15673	17.6607424327147	1.53214831250147	0.57939881344436	2.64437599275235	0.00818416889995701	0.0363776361564495	enriched in absence of Pc
CG1572	1155.22309225625	1.04202076762415	0.235231703794016	4.42976329643309	9.43365737828215e-06	0.000156834553913941	enriched in absence of Pc
CG15765	673.883622786185	-1.16709793038355	0.142059243207946	-8.21557192639099	2.11155440465782e-16	5.27425089221968e-14	depleted in absence of Pc
CG15766	54.1446360006457	1.1520858440308	0.39197783616917	2.9391606813544	0.00329102408587356	0.0182377584758826	enriched in absence of Pc
CG15822	698.045912084585	-1.0966659268687	0.186136392431639	-5.89173300579285	3.82166301829095e-09	1.81192828566285e-07	depleted in absence of Pc
CG15864	31.9627131641952	-1.13332442140917	0.291500359966035	-3.88790058969815	0.000101115020920005	0.0011280162627906	depleted in absence of Pc
CG15879	91.1230587275043	1.19250943342767	0.290592113597676	4.10372263260624	4.06554845758466e-05	0.000541421089130358	enriched in absence of Pc
CG15923	49.4818494528844	-1.33591029113156	0.377966163835118	-3.53447059275478	0.000408592899096091	0.00347476303913517	depleted in absence of Pc
CG1648	2237.91748580531	1.40684239216073	0.328272324791267	4.28559548251677	1.82250349309131e-05	0.000274878619628102	enriched in absence of Pc
CG16704	96.1979085181285	-2.01482510683579	0.694806323714984	-2.89983703093395	0.00373356721659907	0.0201556641560639	depleted in absence of Pc
CG16710	7.43740846884893	-2.42750913950273	0.782792291149417	-3.10108973599917	0.00192809849988112	0.0120180503574452	depleted in absence of Pc
CG16758	20.0921597915307	-2.5732491830647	0.898989833074142	-2.86237851463275	0.00420474419872934	0.0220147164310773	depleted in absence of Pc
CG16799	22.9366548118134	-1.76413749607922	0.608206506317741	-2.90055676444473	0.00372500363251254	0.0201321542803977	depleted in absence of Pc
CG16886	48.7856375436178	-3.811043820119	0.554617465939233	-6.87148179451053	6.35384016890891e-12	6.31744438541711e-10	depleted in absence of Pc
CG16957	12.4150390776569	-3.04282191969879	1.12301296537765	-2.7095162865511	0.00673813969071096	0.0313233266330327	depleted in absence of Pc
CG1698	122.00189718742	1.43011519363281	0.262645697322704	5.44503568195018	5.1795001750335e-08	1.80419256097e-06	enriched in absence of Pc
CG17027	13.007019035996	2.9255721344029	0.971050451968361	3.01279107431817	0.00258857060795918	0.0152266235474497	enriched in absence of Pc
CG17104	286.030500864131	1.59399717622519	0.266542949849792	5.98026388288819	2.22776429655917e-09	1.14645900306847e-07	enriched in absence of Pc
CG17108	70.2094801661603	3.25628764768932	0.983278607836341	3.31166326790596	0.000927431047603569	0.00667612514023149	enriched in absence of Pc
CG17109	70.0301909967192	-4.96692638212788	1.43932911246828	-3.45086216842386	0.000558798867195364	0.00448450530491893	depleted in absence of Pc
CG17122	3.92122921878128	-3.7991546111421	1.40263085806945	-2.70859192159166	0.00675693916253647	0.0313680027033255	depleted in absence of Pc
CG17350	10.5267261946758	2.86896061067476	0.93925704098226	3.05449997763599	0.00225436031339221	0.0135885581766363	enriched in absence of Pc
CG17362	38.5290017125787	-9.2467500531761	2.28140542248549	-4.05309374740688	5.05447358436177e-05	0.000643016943819241	depleted in absence of Pc
CG17364	5.58344548981095	-3.24301307678494	1.27327381938712	-2.5469879513787	0.010865718469127	0.0451240157511474	depleted in absence of Pc
CG17646	240.523769167731	-1.20154387639968	0.38874335312992	-3.09084095387251	0.00199590510913026	0.01235795902213	depleted in absence of Pc
CG1773	13.742938837917	-4.33759101551135	1.38557939112209	-3.13052506648401	0.00174494106855953	0.0111034601308632	depleted in absence of Pc
CG17760	30.8293645438137	-1.48157280630222	0.494522651909474	-2.99596550447487	0.00273577379994164	0.015873688093599	depleted in absence of Pc
CG17778	28.3931220657349	-1.06555150340627	0.420706528069161	-2.53276674430661	0.0113166230274863	0.0466748032317711	depleted in absence of Pc
CG17843	883.309632280488	1.21120018415263	0.268375170350605	4.51308585131149	6.38911442505894e-06	0.00011320228516787	enriched in absence of Pc
CG17855	37.8372833825382	-1.77511085574005	0.404012667922327	-4.39370098187447	1.11437068566319e-05	0.000181435138185639	depleted in absence of Pc
CG18208	21.7898503306217	-1.49176672266547	0.514808230729687	-2.89771342729125	0.00375893882780677	0.0201969005957865	depleted in absence of Pc
CG18249	37.3224101977064	-1.46057148529384	0.432944114067856	-3.37357972503797	0.00074197556730324	0.00558307993001652	depleted in absence of Pc
CG18265	22.8273090649364	-1.37390665683969	0.527832905980916	-2.60291967642002	0.00924336069840982	0.0399414586128333	depleted in absence of Pc
CG18335	9.33870883926467	-2.11437920368548	0.786591780775945	-2.68802605793786	0.00718757874507263	0.0330300566398295	depleted in absence of Pc
CG18765	33.7656177147069	-1.36755815678072	0.367470362430495	-3.7215468146479	0.000198006146928023	0.00196300188837355	depleted in absence of Pc
CG2003	121.617719754593	-1.16791241543602	0.307528967022734	-3.79773140313538	0.000146026432463436	0.00152131911989628	depleted in absence of Pc
CG2121	38.6573887573558	-1.6244655226012	0.598807962935579	-2.71283219855238	0.00667108781069946	0.031053913758806	depleted in absence of Pc
CG30046	137.709110844278	-1.7522217424487	0.381797430653558	-4.58940160872549	4.44518463523802e-06	8.52493180701733e-05	depleted in absence of Pc
CG30059	17.5761786244569	-3.32345855840553	0.649336238991591	-5.11823976368054	3.08400393019335e-07	8.53602277002977e-06	depleted in absence of Pc
CG30090	18.8605646970736	-2.64556527987088	0.972360143491841	-2.72076688619753	0.00651306730969409	0.0305124987733656	depleted in absence of Pc
CG30116	19.4519586472986	-1.4595858829238	0.557303404393892	-2.61901483360074	0.00881841128198506	0.0384131645847762	depleted in absence of Pc
CG30148	30.4443475179105	-2.92180406007235	0.81877314468967	-3.56851476996082	0.00035901061837539	0.00313705438803956	depleted in absence of Pc
CG30172	14.663053901523	-2.13651471538631	0.832999819703875	-2.56484415104174	0.0103222157201592	0.0433948321798649	depleted in absence of Pc
CG30203	77.124169161072	-1.22150144485546	0.289968578397018	-4.21253037693969	2.52525741042812e-05	0.000362709132401043	depleted in absence of Pc
CG30287	4.59937137570766	3.33098123847357	1.07573176047629	3.0964794020758	0.00195833467113267	0.0121621014961005	enriched in absence of Pc
CG30345	14.8281993175614	-2.40464775720381	0.874682925905193	-2.74916508140969	0.00597472868277361	0.0286188944996654	depleted in absence of Pc
CG30486	3.59149346774505	-5.52892334771979	1.62235939822094	-3.40795224152104	0.000654523492238998	0.00507032911045354	depleted in absence of Pc
CG3078	15.097835951558	-2.57529522119425	0.705791022500881	-3.64880699682041	0.000263460936886915	0.00246503441482046	depleted in absence of Pc
CG31100	34.0620985019233	-1.72720600574396	0.674917491693132	-2.55913652706052	0.0104932522316947	0.0439874728222616	depleted in absence of Pc
CG31103	88.2510633776308	1.72580533600872	0.404041387593823	4.27135780887784	1.94286389531758e-05	0.000290465243094122	enriched in absence of Pc
CG31140	219.460797033669	-1.03160953941909	0.259506284239826	-3.9752776794635	7.0297186585447e-05	0.00084313627731121	depleted in absence of Pc
CG31191	2.31383833962864	-4.85558498905069	1.67481268428597	-2.89918092608714	0.00374138931788892	0.0201660884234213	depleted in absence of Pc
CG31262	13.9778066915664	3.29523097498382	0.734577189543329	4.4858879664265	7.26108901049583e-06	0.000126275473518229	enriched in absence of Pc
CG31321	29.8886185812672	2.49723113565516	0.801423909409412	3.11599280522517	0.00183326745263256	0.0115322432324386	enriched in absence of Pc
CG31323	23.0764352502075	-1.58697340036331	0.613757449285762	-2.58566865821358	0.00971903103067489	0.0414373841736643	depleted in absence of Pc
CG31324	97.5450392971635	-1.10984839685242	0.262145502301115	-4.23371138207661	2.2986591676594e-05	0.00033629383622857	depleted in absence of Pc
CG31391	5.92283579557901	2.05473019364667	0.771098177724852	2.66468039090588	0.00770615235350398	0.0349352395981559	enriched in absence of Pc
CG31431	59.2810116175931	-3.17601466743437	0.911731110163438	-3.48349928178389	0.000494904449106435	0.0040546531706392	depleted in absence of Pc
CG31547	225.493502812584	-1.16667289245497	0.214069473609735	-5.44997319226331	5.03774131545973e-08	1.76080234851956e-06	depleted in absence of Pc
CG31663	34.7399253489493	-2.12843948925242	0.447299604711724	-4.7584202329536	1.95113967239193e-06	4.16082265087658e-05	depleted in absence of Pc
CG31698	49.6018422341722	-6.07121850503414	1.54349809276237	-3.93341497051583	8.3747472839385e-05	0.000970201209669844	depleted in absence of Pc
CG31706	14.8884797891551	-2.46960622067549	0.812579662106833	-3.03921736642087	0.0023719364753789	0.0141803861321397	depleted in absence of Pc
CG31760	41.745083081121	-1.37258864244393	0.466552937174973	-2.94197835460023	0.00326122721555324	0.0181216646307546	depleted in absence of Pc
CG31775	9.33647925961531	-3.6076899644344	1.4038091778598	-2.56992903404049	0.0101719350000361	0.0430019645122861	depleted in absence of Pc
CG31778	55.3875872936068	-2.68150070513145	0.796463938258091	-3.36675720811169	0.000760576183761206	0.00569792296847002	depleted in absence of Pc
CG31808	35.0337177631564	2.09906862839149	0.44124885755463	4.75710835836353	1.96385765963045e-06	4.172586367692e-05	enriched in absence of Pc
CG31974	3.64299598452182	-5.85995280110302	1.63341383658746	-3.58754938267554	0.000333800527029866	0.00296483191440838	depleted in absence of Pc
CG32073	48.2720486115911	8.8135471922105	1.55127763118476	5.68147636182913	1.33536973079006e-08	5.47020856520841e-07	enriched in absence of Pc
CG32170	25.049134293976	2.03691771380443	0.639823960954317	3.18355960093508	0.00145476160629665	0.00958701004509908	enriched in absence of Pc
CG32204	33.9114769757842	-1.06865500056233	0.358884294840848	-2.97771458914423	0.0029040627363526	0.0166148080910542	depleted in absence of Pc
CG32241	24.2924166826071	1.73774899847479	0.661666512354667	2.62632151699907	0.00863132455554284	0.0378022868860783	enriched in absence of Pc
CG32333	56.1237956417735	-1.15999306323512	0.379014640513753	-3.06054948606406	0.00220931247814274	0.013395303605297	depleted in absence of Pc
CG32335	19.0675332588022	-2.19004705172622	0.685405895889722	-3.19525563590802	0.0013970703501836	0.009284488939799	depleted in absence of Pc
CG32354	347.95323539998	-1.0792480016925	0.22343287202859	-4.83030089482267	1.36326876959906e-06	3.09561762072372e-05	depleted in absence of Pc
CG32365	121.629571238989	1.43506518543704	0.25443724919671	5.64015367234052	1.69898466014586e-08	6.71787718322538e-07	enriched in absence of Pc
CG32432	12.3159581483427	-2.81972048412344	0.836625969673795	-3.37034778543016	0.000750733685911745	0.00563242760250709	depleted in absence of Pc
CG3246	23.9072355308716	-2.11550317999189	0.794753720216685	-2.6618348881904	0.00777159899048252	0.035123100291938	depleted in absence of Pc
CG32532	7.09596753693135	-2.66643808820114	0.94043518251219	-2.8353236222812	0.00457792856696146	0.0234178653617644	depleted in absence of Pc
CG32581	86.3544771324021	6.84323182997516	0.866371969864818	7.89872256721663	2.81776272543635e-15	5.88912409616197e-13	enriched in absence of Pc
CG32647	74.2573098725341	-1.02953456528446	0.369330764197454	-2.78756785268515	0.00531053318914415	0.0262027108772384	depleted in absence of Pc
CG33288	32.9759075127692	2.51916552632486	0.675878776301663	3.72724461050467	0.000193584558371755	0.00192662727141413	enriched in absence of Pc
CG33460	79.3663055717725	-2.39587315512663	0.557660145512497	-4.29629618398638	1.73675500878597e-05	0.000265464299178764	depleted in absence of Pc
CG33465	194.450885469488	-1.7956058412758	0.396516149126923	-4.52845576461258	5.94163163133464e-06	0.000107127199888201	depleted in absence of Pc
CG33494	90.2719534732272	-1.51214485969482	0.36499947996485	-4.14286853186872	3.42988582710795e-05	0.000472751827125337	depleted in absence of Pc
CG3394	72.3941683383274	-2.31287845549311	0.600810472849476	-3.84959743548372	0.000118312113365278	0.00128738012753629	depleted in absence of Pc
CG34113	130.714744818567	-1.09332054464381	0.177136478956136	-6.17219305185885	6.73491932851548e-10	3.81062479797387e-08	depleted in absence of Pc
