geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_wt_v_ScmKD_change
Dscam4	692.517667276869	1.0063796610001	0.184897484574581	5.44290617752653	5.24182590539851e-08	1.04235998246963e-06	enriched in ScmKD
E23	378.512323861695	-1.03293173241158	0.410296116688327	-2.51752744030046	0.011818176341619	0.042557741427696	depleted in ScmKD
Eaat1	51.0771159526143	-2.97390867983144	0.589109857706769	-5.04813939357252	4.46133597174049e-07	7.48663339331464e-06	depleted in ScmKD
Eaat2	72.5279644526924	-1.24772335367018	0.35364025806609	-3.52822769809483	0.00041835212537232	0.00298977258613951	depleted in ScmKD
Eglp2	19.457373865896	3.1940184258778	0.956128089831107	3.34057587037527	0.000836048339755893	0.00525919597508606	enriched in ScmKD
Eip93F	132.134159199555	-1.33825554817404	0.421866618846499	-3.17222432017306	0.00151276108574091	0.00850284647589058	depleted in ScmKD
Elk	32.9725119162266	-1.63713384831224	0.587511199260463	-2.7865576866841	0.00532711355885119	0.0229898735592899	depleted in ScmKD
Ets65A	26.0080041652489	-3.00509565555702	0.73425471359646	-4.09271551126684	4.26350678201538e-05	0.000441036090450702	depleted in ScmKD
FASN3	56.9417725269921	-3.77006603728325	1.5141353716545	-2.48991345678932	0.0127774204241484	0.0452937218981323	depleted in ScmKD
Fbp1	11099.5834379158	-4.62736817865789	1.47544794934924	-3.13624630451981	0.00171125419517506	0.0093840641382333	depleted in ScmKD
Fbp2	1281.54774955959	-3.69649522998294	1.15151764701259	-3.21010732190934	0.00132685421934185	0.00762959801250976	depleted in ScmKD
Fer2	5.43446094046564	-6.94907320403749	1.58889877281637	-4.37351536984325	1.22261632725229e-05	0.000149057307230841	depleted in ScmKD
Fmo-2	24.5885454537823	-1.51242162427333	0.523306770229824	-2.89012432155065	0.00385089500804664	0.0178448035191881	depleted in ScmKD
FoxP	12.9372390155776	-3.57198610168716	0.816873540442837	-4.37275284954234	1.22689591820839e-05	0.000149401202120953	depleted in ScmKD
Frq1	40.2949487042787	-1.51580383153057	0.614327795053359	-2.46741860572809	0.0136091157402007	0.0474653084620689	depleted in ScmKD
Fst	20.2258415647815	-6.81348484478273	2.25712773861078	-3.01865274535871	0.00253901373694527	0.0128890632043122	depleted in ScmKD
FucTA	34.3863695513269	-1.44200569800319	0.51598987136324	-2.79463954242633	0.00519576118327891	0.022565644731959	depleted in ScmKD
GC	17.2255050203649	-2.47653877920381	0.591269787354329	-4.18850892125781	2.80793274296799e-05	0.000308210495399091	depleted in ScmKD
Gad1	14.6529831927266	-2.68062443182534	0.84313622041912	-3.17934915723679	0.00147606172647074	0.00834696197724287	depleted in ScmKD
Gat	61.3843061727476	-2.27950503842994	0.534817922943489	-4.26220764233961	2.02417225202984e-05	0.000230841292127368	depleted in ScmKD
Gba1b	21.7513836989563	-1.40315284665995	0.56362244793609	-2.48952619221982	0.0127913493041012	0.0453117288907992	depleted in ScmKD
Gbp2	54.1746527690633	-4.17231484492616	1.16434343583448	-3.58340564863997	0.000339143302254466	0.00250589217776911	depleted in ScmKD
Gbp3	38.7755578624354	-4.12500669556539	1.56791652760177	-2.63088412102834	0.00851630683804069	0.0333775347601893	depleted in ScmKD
Gel	1702.93721489904	-1.33659271318714	0.240002267359881	-5.56908369195918	2.56082467801556e-08	5.31955487374389e-07	depleted in ScmKD
Ggamma30A	205.277967590555	-1.17607040586132	0.335190701935234	-3.50866058954273	0.000450369249134856	0.00317428181719894	depleted in ScmKD
