geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_PcKD_v_ScmKD_change
CR44382	51.3053426902906	-1.51742160440111	0.333983099121385	-4.54340835926433	5.53518746965083e-06	0.0001025060666848	depleted in ScmKD
CR44498	18.7677540725656	-2.64518820255779	0.623009457298683	-4.24582351289996	2.17792014618623e-05	0.000331412781829021	depleted in ScmKD
CR44499	2.88399200836573	-4.34831115153947	1.6722123342345	-2.60033433704461	0.00931329741451754	0.0462100188091444	depleted in ScmKD
CR44660	3.39202066393996	-5.40500057029549	1.61656338079036	-3.34351293275796	0.000827248380576893	0.0066812702409211	depleted in ScmKD
CR44811	48.0908951229543	-3.39306709255302	0.649945869288031	-5.22053797536998	1.78404118132005e-07	5.08923836710269e-06	depleted in ScmKD
CR44831	28.2774036396369	-1.75340306578254	0.437257013785939	-4.0100055813877	6.07173126016236e-05	0.000798210524201833	depleted in ScmKD
CR44922	69.9472643516325	-1.64074757914931	0.411609046114631	-3.98617959113651	6.71456965496939e-05	0.000867136290498632	depleted in ScmKD
CR44932	6.50216832198445	-4.46321258950466	1.30985152818247	-3.40741869858926	0.000655804424550622	0.0054825249892432	depleted in ScmKD
CR44955	25.8430933763763	-1.66023746356934	0.583865394544523	-2.84352777041103	0.00446171210706175	0.0260950278060648	depleted in ScmKD
CR44957	14.0743774797687	-1.48350857063235	0.567888310081779	-2.61232454392082	0.00899288393871229	0.0449325846073195	depleted in ScmKD
CR45131	14.3631211330711	-1.97583382218614	0.72130601121839	-2.73924491333251	0.00615804809163889	0.0336165087987601	depleted in ScmKD
CR45143	43.0351608084823	1.36398278479177	0.34367489728967	3.96881702896711	7.22303148298818e-05	0.000923483962762572	enriched in ScmKD
CR45169	4.71255699835563	-5.43866204605168	1.32580441403432	-4.10216015913106	4.09310780592209e-05	0.000567219445743547	depleted in ScmKD
CR45185	87.7013525376294	-1.46369281764779	0.283697101526556	-5.15935062350569	2.47807845525524e-07	6.84043166044985e-06	depleted in ScmKD
CR45195	7.99023066063545	-3.76494229576337	1.22308148018431	-3.07824323788797	0.00208224880398024	0.014140789125704	depleted in ScmKD
CR45232	125.274871708114	-3.14916890839848	0.352407816655038	-8.93614942565565	4.02966962789208e-19	7.64219382578571e-17	depleted in ScmKD
CR45473	89.7877715214337	-1.05301118291596	0.250839880179501	-4.19794165968516	2.69351995309084e-05	0.000393499826527864	depleted in ScmKD
CR45479	34.4471998982465	-1.89152177525499	0.501140947610702	-3.7744306951432	0.00016037348378963	0.00174907864482385	depleted in ScmKD
CR45485	55.7747881929863	-1.31651861060643	0.335467924734671	-3.92442470214609	8.69372456759321e-05	0.00106243953814704	depleted in ScmKD
CR45517	58.7049614013361	-1.07182130069777	0.28262570614217	-3.79237018220348	0.000149216258727461	0.00166100402785644	depleted in ScmKD
CR45520	3.23446868085776	-4.98158773285436	1.9056535841569	-2.61410981212429	0.00894602783188738	0.0448001325312267	depleted in ScmKD
CR45600	311.211042443348	-2.09678286218595	0.211434427485381	-9.91694156492521	3.5135762392744e-23	1.02807240761169e-20	depleted in ScmKD
CR45732	34.7264301132886	-1.43874180177762	0.381225218471751	-3.7739943006531	0.000160654432090538	0.00175027876493532	depleted in ScmKD
CR45895	6.32073916417437	-3.90992879956108	1.46610881551947	-2.66687489917023	0.00765601642327273	0.0399212139464033	depleted in ScmKD
CR45916	33.6434783961664	-1.14693820600798	0.439007554277056	-2.61257054652903	0.00898641436828286	0.0449325846073195	depleted in ScmKD
CR45923	24.7275241245004	2.4300148930125	0.694112391981073	3.50089541850271	0.000463697772189764	0.00406221461505165	enriched in ScmKD
CR46006	329.511909927781	-4.06641852768287	0.241991582961423	-16.8039668071063	2.2825510730004e-63	2.33756055385971e-59	depleted in ScmKD
CR46194	43.3797932015243	-1.09360895263812	0.386816111898689	-2.82720631069408	0.0046956065041579	0.027122225724242	depleted in ScmKD
Cda9	35.3626105950919	7.47764754159256	2.51028055087654	2.97880949560857	0.00289370627239387	0.0183974030518321	enriched in ScmKD
Cep89	7.50865685651842	4.1653034625741	1.41475790270735	2.94418108893626	0.00323810472364275	0.0202080624465724	enriched in ScmKD
Cirl	14234.8263037347	-1.13895977218433	0.0804005435725084	-14.1660705459929	1.48585186474588e-45	3.80415223671563e-42	depleted in ScmKD
Cpr100A	62.7365025117881	-4.82217817086895	0.742668393586126	-6.49304348012452	8.41193979220521e-11	4.97957661340888e-09	depleted in ScmKD
Cpr47Eb	22.5098241367749	-3.45253644712173	0.820232912987075	-4.20921471506001	2.56259778774143e-05	0.000377816565461895	depleted in ScmKD
Cpr49Ah	182.944529003514	-3.11763712077928	0.829518751983033	-3.75836846765225	0.000171024903168985	0.00183536417683501	depleted in ScmKD
Cpr64Ac	8.16555395992339	-4.7614053873921	1.67339421023578	-2.84535787100711	0.00443615518066847	0.0259752231019015	depleted in ScmKD
Cpr66Cb	69.5624385999834	3.06431135670592	0.673800984858994	4.54779886875231	5.42099056788073e-06	0.000100573123923309	enriched in ScmKD
Cpr66D	541.351972153401	1.8739753928172	0.161975965555336	11.5694657932259	5.88479281326933e-31	4.01774421337942e-28	enriched in ScmKD
Cpr92A	85.8098575055258	1.59927885672507	0.36444115840348	4.38830472313031	1.14237641632391e-05	0.000195310131545461	enriched in ScmKD
Cpr97Ea	335.740580902187	1.13697435490042	0.276572365333146	4.11094706996801	3.94039530705622e-05	0.000548282450265799	enriched in ScmKD
Cyp4c3	5.79061675228696	-7.45868212923463	2.21392832355664	-3.36898085176143	0.000754466699932451	0.00617132066614076	depleted in ScmKD
Cyp4d2	46.2355722622526	-1.91029585468003	0.516348970571789	-3.69962169686253	0.000215921083399508	0.00219369822926028	depleted in ScmKD
Cyp4e1	42.9813506567729	-1.0886629790421	0.42338227312131	-2.57134756969424	0.0101303600066161	0.0492382614275062	depleted in ScmKD
Cyp4g1	95.4480204862882	-4.07618677201082	1.43472492138777	-2.84109288912891	0.00449592148003904	0.0262501321990193	depleted in ScmKD
Cyp4p2	120.033470087579	7.92592598599505	0.613007627774381	12.929571553247	3.06522192728596e-38	3.13909377573356e-35	enriched in ScmKD
Cyp6d2	110.449108637977	-2.00032404720299	0.511765703378904	-3.90867155418184	9.28050339949334e-05	0.00111945389062675	depleted in ScmKD
