geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_PcKD_v_toySfmbtKD_change
CG4382	387.324159271292	-6.28655190628366	1.26684023922705	-4.96238729369645	6.96319732518769e-07	3.55442802237259e-05	depleted in toy-SfmbtKD
CG44013	33.5048129329497	-8.16357431153752	1.1820498737158	-6.9062858455161	4.97507038635147e-12	7.54175442658279e-10	depleted in toy-SfmbtKD
CG44245	347.064949700755	-1.21267944392596	0.297925759414842	-4.07040816580545	4.69308389086224e-05	0.00147192176577043	depleted in toy-SfmbtKD
CG5506	14.4828151797541	5.60691306889186	1.95073811634316	2.87425206998187	0.00404985596878203	0.0493195883817656	enriched in toy-SfmbtKD
CG6012	6.13670795751335	-22.4018044771239	4.30030169717946	-5.20935647185338	1.89496730494281e-07	1.10872209859373e-05	depleted in toy-SfmbtKD
CG6324	17.9719435332903	3.72150645047357	0.822101692649736	4.52682008046802	5.98778776937842e-06	0.000246534224825642	enriched in toy-SfmbtKD
CG7017	62.7241130361792	6.06050303596571	1.85970018121732	3.25886027069085	0.00111860747145057	0.019264981827161	enriched in toy-SfmbtKD
CG7080	72.4810247923506	1.58667280559264	0.503550348859678	3.15097151493543	0.00162728359808387	0.025478830045116	enriched in toy-SfmbtKD
CG7381	49.1475567402128	1.33682233061069	0.3418656101402	3.91037381637322	9.21533920910323e-05	0.00258987271873814	enriched in toy-SfmbtKD
CG7386	61.2821711562736	-5.17032731534292	0.576656204359493	-8.96604818651996	3.07343553033256e-19	1.06252168828263e-16	depleted in toy-SfmbtKD
CG7512	11.7832194651665	-2.79529254122975	0.921626218530123	-3.03300023917276	0.00242135408215468	0.033977065346364	depleted in toy-SfmbtKD
CG7715	105.488596748257	4.29037419923767	1.48752894313001	2.88422905587975	0.00392373240614057	0.0483543533256445	enriched in toy-SfmbtKD
CG8083	36.5857520828509	-1.82675856494401	0.55164843988649	-3.31145423944259	0.000928124181841523	0.0166712431585717	depleted in toy-SfmbtKD
