geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_PcKD_v_toyScmKD_change
CG4896	921.809236892114	-1.38020633985103	0.101105874271195	-13.6510994024829	1.98855655003876e-42	1.735844155138e-39	depleted in toy-ScmKD
CG4927	67.9463163884287	-2.08143559084695	0.504293054515293	-4.12743259541329	3.66835908390929e-05	0.000386580094607141	depleted in toy-ScmKD
CG5023	86.9493810148223	-1.99930028911909	0.490946210555442	-4.07234081073186	4.65430093308868e-05	0.000473959162854062	depleted in toy-ScmKD
CG5084	55.9373384392149	-4.25453876138431	1.51122835082334	-2.81528516790091	0.00487339682861114	0.0237546913818993	depleted in toy-ScmKD
CG5096	36.4996980618838	-2.65827149938085	0.548403500092033	-4.84729127172736	1.25158603394229e-06	1.974452365293e-05	depleted in toy-ScmKD
CG5171	155.866449454476	-2.69342643702175	1.01092330974452	-2.66432320934654	0.00771434033968767	0.0339813772322239	depleted in toy-ScmKD
CG5326	821.81127626937	-1.54032062146312	0.143795773062384	-10.7118630030583	8.95414879268279e-27	2.13169792280346e-24	depleted in toy-ScmKD
CG5381	49.523222418741	-1.40458201942986	0.501044473570068	-2.80330807647046	0.00505813271112085	0.0244235008342023	depleted in toy-ScmKD
CG5399	158.761155650404	-1.77890885090095	0.371961902119624	-4.78250283366077	1.73125946036708e-06	2.63589285571877e-05	depleted in toy-ScmKD
CG5418	10.2957826605347	-4.04738764857984	1.58354262540488	-2.55590697948217	0.010591142744113	0.0436608501552869	depleted in toy-ScmKD
CG5597	43.0314741268828	-1.79274441653531	0.53936866470217	-3.32378303349386	0.00088805257207972	0.00580671079434149	depleted in toy-ScmKD
CG5612	49.2723404963602	-3.25422189696545	1.19953618879017	-2.71290014205207	0.00666972020206482	0.0303366561513804	depleted in toy-ScmKD
CG5618	202.49215203193	-1.17471220956347	0.314974109624272	-3.72955164779979	0.000191820786494841	0.00157347121263387	depleted in toy-ScmKD
CG5756	164.332852321134	1.11959265910277	0.218072308539539	5.13404322905942	2.83582915263683e-07	5.2762540628545e-06	enriched in toy-ScmKD
CG5773	54.9118276204362	-7.80882774528716	1.80630731734331	-4.32308924971431	1.5385945429298e-05	0.000181904941729002	depleted in toy-ScmKD
CG5866	32.0607330852878	-7.90038518046269	2.30058891808586	-3.43407078003139	0.000594588914245766	0.00416608507321488	depleted in toy-ScmKD
CG5867	11.8143969719789	-5.51558244267905	1.60767404476273	-3.43078403277518	0.000601839543283486	0.0042056499105367	depleted in toy-ScmKD
CG5953	208.233550092632	-1.14457060692023	0.240518606602405	-4.75876117481542	1.94784738276763e-06	2.92316638029956e-05	depleted in toy-ScmKD
CG5958	127.792312373523	-3.06708246286758	0.989079182586498	-3.10094734260505	0.00192902591340214	0.0111515156969578	depleted in toy-ScmKD
CG5966	205.545845878615	-1.52792299736442	0.435132861878912	-3.51139417686548	0.000445762897599002	0.00325708239944759	depleted in toy-ScmKD
