geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_PcKD_v_SfmbtKD_change
CG15282	401.499854643208	1.34411860290142	0.329962183767479	4.07355348287006	4.63012126446341e-05	0.000651819665040455	enriched in SfmbtKD
CG15343	121.73683451486	3.80042667191681	0.509827661684647	7.45433596003576	9.03215756841552e-14	1.08943431411629e-11	enriched in SfmbtKD
CG15404	39.5520319820747	3.91067829623989	1.41665954246285	2.76049267944873	0.00577142514418872	0.030981771241057	enriched in SfmbtKD
CG15484	33.1268649496718	-1.63887246237283	0.59292544967408	-2.76404472648912	0.00570897133150113	0.0307648372359437	depleted in SfmbtKD
CG15522	275.683600848366	1.16405439998125	0.277043586973096	4.20170130158724	2.64916531018723e-05	0.000416114872677319	enriched in SfmbtKD
CG15597	34.8245076727441	-8.93695596844612	2.83455264611719	-3.15286293259999	0.00161677702782555	0.0117093488227247	depleted in SfmbtKD
CG15599	19.3784610819692	4.08451071050363	0.937837494877185	4.35524356065389	1.3291904239646e-05	0.00023342393018964	enriched in SfmbtKD
CG1572	1155.22309225625	-1.07160384458233	0.234931294685185	-4.5613499300649	5.0825795595195e-06	0.000103022411403538	depleted in SfmbtKD
CG15822	698.045912084585	1.11889205006989	0.185772220879709	6.02292444355496	1.71293419716606e-09	9.50873131040476e-08	enriched in SfmbtKD
CG15923	49.4818494528844	1.92716389080037	0.369912081006599	5.20978900055441	1.89055510304624e-07	6.19822931434957e-06	enriched in SfmbtKD
CG15930	53.7418959793251	6.30674292369084	0.698269713332841	9.03195828670381	1.68626705470228e-19	4.57634142345591e-17	enriched in SfmbtKD
CG1648	2237.91748580531	-1.37738911336207	0.328097790692613	-4.19810541989449	2.69157335894972e-05	0.000420746747471021	depleted in SfmbtKD
CG16824	13.764809207113	-1.91180344662234	0.639103642715574	-2.99138249079448	0.0027771739987507	0.0176240545730263	depleted in SfmbtKD
CG16884	559.394901014619	-3.84558534744343	1.33001086122516	-2.89139394237804	0.00383537021130063	0.0226141019700707	depleted in SfmbtKD
CG16885	733.089647222345	-2.88007372605422	1.05092392201887	-2.74051590768006	0.00613428124580477	0.0323606521444453	depleted in SfmbtKD
CG16886	48.7856375436178	3.69707509992317	0.554224513985679	6.67071738371122	2.54556009673143e-11	1.92791644535396e-09	enriched in SfmbtKD
CG1698	122.00189718742	-1.83319252326557	0.266316892174648	-6.88350073589544	5.83992961774928e-12	4.91863037632849e-10	depleted in SfmbtKD
CG17029	21.6507199958871	-1.78737654586482	0.547513804281601	-3.26453238600999	0.00109644927439182	0.00870211974882867	depleted in SfmbtKD
CG17108	70.2094801661603	-4.38880216139433	0.994641872576837	-4.41244460181852	1.0220995221875e-05	0.00018526739019985	depleted in SfmbtKD
CG17109	70.0301909967192	6.72317383792256	1.43420390411352	4.68773918313807	2.76239758561625e-06	6.30575336716606e-05	enriched in SfmbtKD
CG17129	132.565480834386	-1.0999973476919	0.286205558725639	-3.84338219212009	0.00012135026424944	0.00143035472359255	depleted in SfmbtKD
CG17264	80.5234187491995	1.16122522560769	0.368915694399644	3.1476709807573	0.00164576823852385	0.0118752996236175	enriched in SfmbtKD
CG17350	10.5267261946758	-4.0663544508885	1.01954300334758	-3.98840896120807	6.65179204745401e-05	0.000879404713174908	depleted in SfmbtKD
CG17362	38.5290017125787	5.91778889595556	2.29252951230257	2.5813359715539	0.00984187488655526	0.0466545937125885	enriched in SfmbtKD
CG17386	137.079612113886	1.1197443860722	0.297187073668609	3.7678098587855	0.000164686061073062	0.00183673837520984	enriched in SfmbtKD
CG17738	91.6072364411944	-1.62729981449261	0.514820234746722	-3.1609088078933	0.00157277729835134	0.0114671897051438	depleted in SfmbtKD
CG17739	186.619448971314	-1.00960323976598	0.218096774035882	-4.6291525595875	3.67165202696226e-06	7.91877269391199e-05	depleted in SfmbtKD
CG17778	28.3931220657349	1.56443677149655	0.411784936187131	3.79915978953053	0.000145187465537492	0.00164939713755964	enriched in SfmbtKD
CG17855	37.8372833825382	1.07554692790335	0.409410051412788	2.62706527158251	0.00861248119155215	0.0421774141561226	enriched in SfmbtKD
CG18067	42.0241084954599	-2.299818752987	0.818782819030975	-2.80882634507259	0.00497224590645515	0.027617306711806	depleted in SfmbtKD
CG18335	9.33870883926467	2.51317940297921	0.775069598838511	3.24252093843619	0.00118477242131522	0.00923801002094946	enriched in SfmbtKD
CG18765	33.7656177147069	1.68254250561312	0.361185822141729	4.65838469416136	3.18700233781469e-06	7.04457304082568e-05	enriched in SfmbtKD
CG2556	1037.60573603586	1.20800086520991	0.136177104011673	8.87080742373817	7.26174386615167e-19	1.77368093930754e-16	enriched in SfmbtKD
CG30046	137.709110844278	1.16776755401651	0.38293509116638	3.04951826289831	0.00229208696733552	0.015359183587701	enriched in SfmbtKD
CG30101	246.93489760494	1.49641519501383	0.435424950378303	3.43667764953231	0.000588896018348782	0.00521624125046927	enriched in SfmbtKD
CG30196	40.0606234975506	-1.18905189737866	0.419027996835416	-2.83764308437293	0.0045447971527995	0.0259512964248107	depleted in SfmbtKD
CG30285	15.9464067137095	-1.55398667266882	0.510654872609388	-3.04312512427058	0.00234134957966598	0.0155824151180768	depleted in SfmbtKD
CG30380	23.7688350419858	1.83827134593651	0.612649898118599	3.00052501694965	0.00269514613530261	0.0172214373720775	enriched in SfmbtKD
CG30427	89.3887041117376	3.67766422400026	0.306693577252074	11.9913310769386	3.94514105303508e-33	3.50400255346843e-30	enriched in SfmbtKD
CG30486	3.59149346774505	4.825683424155	1.63337414712283	2.95442623030087	0.00313251034511985	0.0192724345540434	enriched in SfmbtKD
CG31103	88.2510633776308	-2.33596466825084	0.411404931880556	-5.67801814522012	1.36264263150165e-08	5.83904320603997e-07	depleted in SfmbtKD
CG31262	13.9778066915664	-3.03263891983493	0.710237669526585	-4.26989309347161	1.9556668469779e-05	0.000324946685288675	depleted in SfmbtKD
CG31313	27.5620857200257	-2.8651611264976	1.06461954583965	-2.69125354469974	0.00711840722323477	0.0364836447182298	depleted in SfmbtKD
CG31373	18.8084793019935	-2.2414081299161	0.681890129068824	-3.28705173218584	0.00101242233222809	0.00818821704128179	depleted in SfmbtKD
CG31473	54.5679471245641	-1.12409000218432	0.31647229631129	-3.55193808521754	0.000382404830862011	0.00366631355103528	depleted in SfmbtKD
CG31760	41.745083081121	2.481549206307	0.453947180722806	5.4666034104578	4.58740846222514e-08	1.68492408556164e-06	enriched in SfmbtKD
CG31875	58.5316934719815	2.26861001640758	0.287938579734788	7.87879838296462	3.30544348125107e-15	5.20873916319725e-13	enriched in SfmbtKD
CG32073	48.2720486115911	-5.88856259338281	1.21933137543266	-4.82933738278763	1.36988134574083e-06	3.43172839689433e-05	depleted in SfmbtKD
CG32150	135.862803838363	1.01362734079909	0.253039385167321	4.00580858244197	6.18056869141903e-05	0.000831737687536693	enriched in SfmbtKD
CG32170	25.049134293976	-2.40198548181089	0.648217942171377	-3.70552143892346	0.000210956284059355	0.0022549703449233	depleted in SfmbtKD
